data_version,age,gender,education,experience_years,role_seniority,company_size,location_tier,skills_count,certifications,worked_remote,last_promotion_years_ago,salary_bdt,recent_project_description_length,survey_date,recent_note,survey_year,survey_month,survey_day,imputation_method
v2.0,33,Male,M.Sc,6.0,Senior,Enterprise,Tier-2,1,2,1,0,145185,57,2024-11-15,Worked on microservices deployment,2024,11,15,Iterative
v2.0,29,Male,M.Sc,9.0,Junior,Enterprise,Remote,5,0,1,0,121262,50,2024-03-08,Built ML pipeline for preprocessing,2024,3,8,Iterative
v2.0,34,Male,B.Sc+Cert,10.86,Lead,Enterprise,Remote,5,1,1,5,184875,50,2024-09-01,Experience in data cleaning and ETL,2024,9,1,Iterative
v2.0,39,Male,B.Sc,16.0,Mid,Enterprise,Tier-1,5,0,1,3,180105,59,2024-01-26,Contributed to open-source NLP repo,2024,1,26,Iterative
v2.0,29,Female,B.Sc,8.0,Junior,SME,Tier-1,5,2,0,7,114750,59,2023-12-08,Built ML pipeline for preprocessing,2023,12,8,Iterative
v2.0,29,Female,B.Sc+Cert,7.0,Junior,Startup,Tier-3,5,3,1,0,88150,81,2023-09-17,Contributed to open-source NLP repo,2023,9,17,Iterative
v2.0,39,Male,B.Sc,19.0,Mid,Enterprise,Tier-1,2,0,0,4,210347,62,2024-11-15,Built ML pipeline for preprocessing,2024,11,15,Iterative
v2.0,35,Female,M.Sc,10.0,Mid,Enterprise,Tier-1,6,0,1,3,168940,61,2023-06-23,Built ML pipeline for preprocessing,2023,6,23,Iterative
v2.0,27,Male,M.Sc,4.0,Junior,Enterprise,Tier-3,5,0,1,2,74069,59,2024-12-24,Worked on microservices deployment,2024,12,24,Iterative
v2.0,33,Male,M.Sc,12.0,Junior,SME,Tier-2,7,0,0,1,117598,60,2023-07-14,Experience in data cleaning and ETL,2023,7,14,Iterative
v2.0,27,Male,B.Sc+Cert,7.0,Senior,SME,Tier-2,4,2,1,1,111207,65,2024-03-16,Worked on microservices deployment,2024,3,16,Iterative
v2.0,27,Male,PhD,1.0,Junior,Startup,Tier-1,9,4,1,4,71583,59,2023-09-29,Contributed to open-source NLP repo,2023,9,29,Iterative
v2.0,31,Female,M.Sc,4.0,Senior,Enterprise,Tier-2,4,0,1,3,128319,76,2023-11-03,No relevant project mentioned,2023,11,3,Iterative
v2.0,20,Female,B.Sc,0.0,Mid,Startup,Tier-2,2,0,0,3,30883,43,2023-11-04,Built ML pipeline for preprocessing,2023,11,4,Iterative
v2.0,20,Male,B.Sc+Cert,0.0,Mid,Startup,Tier-1,5,0,1,0,49709,60,2024-10-10,Built ML pipeline for preprocessing,2024,10,10,Iterative
v2.0,27,Male,B.Sc,0.0,Junior,SME,Tier-1,5,0,1,2,42206,58,2024-08-17,Experience in data cleaning and ETL,2024,8,17,Iterative
v2.0,24,Male,B.Sc,0.0,Junior,SME,Tier-2,6,4,0,6,42325,66,2024-07-09,Built ML pipeline for preprocessing,2024,7,9,Iterative
v2.0,32,Male,B.Sc+Cert,10.0,Senior,Startup,Remote,5,0,1,1,122308,73,2023-07-26,Built ML pipeline for preprocessing,2023,7,26,Iterative
v2.0,25,Male,B.Sc,9.0,Junior,Enterprise,Remote,2,1,1,4,110475,51,2023-04-27,No relevant project mentioned,2023,4,27,Iterative
v2.0,22,Male,B.Sc,0.0,Junior,Enterprise,Tier-1,5,1,1,1,59600,57,2023-01-05,Worked on microservices deployment,2023,1,5,Iterative
