Employee_ID,Message,Word_Count,Sentiment_Score,Employee_Role,Department,Stress_Level
1,Looking forward to the weekend!,5,0.0,Data Analyst,IT,Low
2,Enjoying my work today!,4,0.62,HR Specialist,HR,Low
3,Workload is manageable but challenging.,5,0.5,Data Analyst,IT,Medium
4,Feeling great about my progress.,5,0.8,Sales Executive,Sales,Low
5,Loving the collaborative environment.,4,0.6,Manager,Sales,Low
6,Feeling a bit overwhelmed.,4,0.0,Manager,Finance,Medium
7,Multitasking a lot today.,4,0.0,Manager,HR,Medium
8,"Overloaded with work, this is too much!",7,0.25,HR Specialist,Sales,High
9,Burned out and exhausted.,4,-0.4,Software Engineer,IT,High
10,Feeling great about my progress.,5,0.8,Manager,Marketing,Low
11,"Slightly stressed, but I can handle it.",7,-0.17,Manager,Finance,Medium
12,Too many meetings today.,4,0.5,Manager,Finance,Medium
13,Looking forward to the weekend!,5,0.0,Software Engineer,Sales,Low
14,Multitasking a lot today.,4,0.0,Sales Executive,Finance,Medium
15,Enjoying my work today!,4,0.62,Software Engineer,Sales,Low
16,I can't handle this pressure anymore!,6,0.0,Data Analyst,HR,High
17,"Too much work, not enough time.",6,0.1,Sales Executive,Finance,High
18,Feeling a bit overwhelmed.,4,0.0,Sales Executive,Sales,Medium
19,Too many meetings today.,4,0.5,HR Specialist,IT,Medium
20,Feeling productive today.,3,0.0,Software Engineer,HR,Low
21,Too many meetings today.,4,0.5,Software Engineer,HR,Medium
22,Feeling great about my progress.,5,0.8,HR Specialist,Sales,Low
23,Need a short break to refocus.,6,0.0,Data Analyst,Sales,Medium
24,Excited for the team outing!,5,0.47,Manager,Marketing,Low
25,Looking forward to the weekend!,5,0.0,HR Specialist,Sales,Low
26,Feeling productive today.,3,0.0,Data Analyst,Sales,Low
27,Loving the collaborative environment.,4,0.6,Data Analyst,Sales,Low
28,Feeling a bit overwhelmed.,4,0.0,Sales Executive,HR,Medium
29,Looking forward to the weekend!,5,0.0,Manager,Sales,Low
30,Feeling productive today.,3,0.0,Software Engineer,Marketing,Low
31,Loving the collaborative environment.,4,0.6,HR Specialist,HR,Low
32,Feeling a bit overwhelmed.,4,0.0,Data Analyst,Finance,Medium
33,Need a short break to refocus.,6,0.0,Manager,HR,Medium
34,Feeling extremely stressed out.,4,-0.12,Sales Executive,Sales,High
35,Feeling productive today.,3,0.0,Data Analyst,Finance,Low
36,Excited for the team outing!,5,0.47,Software Engineer,Sales,Low
37,Need a short break to refocus.,6,0.0,HR Specialist,Sales,Medium
38,Multitasking a lot today.,4,0.0,Software Engineer,HR,Medium
39,Excited for the team outing!,5,0.47,Sales Executive,Marketing,Low
40,Had a good meeting with the team.,7,0.7,Manager,IT,Low
41,Looking forward to the weekend!,5,0.0,Sales Executive,HR,Low
42,"Overloaded with work, this is too much!",7,0.25,Manager,HR,High
43,Too many meetings today.,4,0.5,Data Analyst,Marketing,Medium
44,Looking forward to the weekend!,5,0.0,HR Specialist,HR,Low
45,Workload is manageable but challenging.,5,0.5,Manager,IT,Medium
46,This deadline is impossible to meet.,6,-0.67,Data Analyst,Marketing,High
47,I can't handle this pressure anymore!,6,0.0,Sales Executive,Marketing,High
48,Feeling great about my progress.,5,0.8,Manager,IT,Low
49,Feeling extremely stressed out.,4,-0.12,Data Analyst,Marketing,High
50,Feeling productive today.,3,0.0,HR Specialist,IT,Low
51,Feeling great about my progress.,5,0.8,HR Specialist,Marketing,Low
52,Feeling great about my progress.,5,0.8,Manager,IT,Low
53,Excited for the team outing!,5,0.47,HR Specialist,HR,Low
54,I need urgent help with my tasks!,7,0.0,Manager,HR,High
55,I feel like quitting.,4,0.0,HR Specialist,Finance,High
56,Great job on the project!,5,1.0,Software Engineer,Sales,Low
57,Feeling great about my progress.,5,0.8,Sales Executive,Finance,Low
58,Had a good meeting with the team.,7,0.7,Manager,IT,Low
59,Looking forward to the weekend!,5,0.0,Manager,Finance,Low
60,Feeling great about my progress.,5,0.8,HR Specialist,Finance,Low
61,Deadlines are approaching fast.,4,0.1,Data Analyst,Sales,Medium
62,Work is going smoothly.,4,0.4,Data Analyst,HR,Low
63,Enjoying my work today!,4,0.62,Manager,HR,Low
64,No work-life balance at all!,5,0.0,Sales Executive,HR,High
65,Feeling productive today.,3,0.0,Software Engineer,IT,Low
66,Feeling great about my progress.,5,0.8,Sales Executive,Finance,Low
67,"Slightly stressed, but I can handle it.",7,-0.17,Manager,Sales,Medium
