EmployeeID,Age,Gender,Department,City,ExperienceYears,AnnualSalary,PerformanceScore,WeeklyHours,ProjectsCompleted,SatisfactionScore,CommuteKm,BMI,MonthlySalesK,DiscountPercent,JoinDate
1,31,Male,Sales,Mumbai,10,518415,73,37.3,1,7.3,1.0,29.2,61.88,20,2022-05-09
2,34,Male,IT,Kolkata,11,1532171,88,40.4,5,9.4,11.1,28.9,483.15,20,2020-09-12
3,40,Female,Marketing,Chennai,21,571512,73,35.1,3,8.0,1.3,25.9,80.1,10,2020-11-29
4,29,Female,IT,Mumbai,8,1111900,79,39.6,4,9.1,9.8,24.1,502.63,30,2020-04-24
5,33,Male,HR,Chennai,12,2067096,77,43.4,7,8.6,9.3,29.6,234.04,20,2022-03-28
6,18,Male,Finance,Pune,0,395788,100,43.9,4,5.5,7.6,28.1,84.6,0,2023-10-25
7,30,Female,IT,Chennai,11,415243,60,46.1,6,6.9,2.4,29.2,84.44,20,2021-02-11
8,40,Female,Operations,Pune,21,562295,88,37.3,3,7.4,3.3,21.7,161.72,25,2022-09-22
9,41,Male,IT,Jaipur,22,950225,49,44.8,4,9.3,14.0,21.6,216.01,25,2023-08-23
10,20,Male,Sales,Chennai,0,964070,90,48.3,5,7.5,1.0,25.0,104.73,10,2023-10-02
11,23,Male,IT,Jaipur,4,520861,76,43.1,3,4.6,13.4,25.8,128.89,30,2020-08-11
12,33,Male,Sales,Jaipur,13,655734,81,42.0,9,10.0,21.7,29.3,230.71,15,2022-09-12
13,34,Male,Sales,Kolkata,11,847421,84,41.2,8,8.9,15.2,24.4,90.51,0,2023-04-01
14,32,Female,Sales,Delhi,11,252267,71,47.6,5,6.6,1.0,24.0,217.72,10,2025-03-29
15,32,Male,Sales,Hyderabad,11,1114796,89,30.9,6,5.3,1.7,23.4,126.94,5,2022-01-26
16,31,Female,IT,Pune,12,1338442,85,38.9,2,7.0,4.0,22.2,95.33,25,2023-07-22
17,38,Female,Operations,Mumbai,17,530743,65,35.8,2,7.9,7.0,24.2,242.93,0,2020-06-03
18,44,Female,Finance,Delhi,22,637232,69,40.7,5,5.8,24.9,28.6,266.35,5,2025-06-22
19,34,Female,Sales,Chennai,14,1476557,69,43.0,2,8.3,5.8,29.7,61.17,5,2024-07-30
20,39,Female,Sales,Kolkata,17,1483838,70,37.3,8,3.6,9.2,31.1,286.8,0,2023-05-06
21,21,Other,HR,Mumbai,0,3288187,81,37.1,6,5.6,16.0,15.7,86.69,25,2025-02-28
22,29,Male,IT,Hyderabad,6,1266562,82,39.8,3,6.3,16.5,21.1,68.85,15,2023-01-27
23,36,Female,HR,Chennai,14,591614,67,36.7,5,7.3,1.1,22.2,156.64,10,2020-07-10
24,38,Male,Sales,Pune,17,1304330,59,55.8,6,8.5,15.2,21.1,122.94,5,2023-09-05
25,26,Male,IT,Jaipur,3,1476067,55,45.6,5,4.8,10.9,14.2,226.71,20,2022-05-23
26,37,Male,IT,Hyderabad,15,415359,63,42.1,1,7.1,15.0,28.8,99.4,20,2020-06-14
27,36,Male,IT,Kolkata,14,621264,80,39.3,6,10.0,10.3,25.5,99.17,10,2024-03-23
28,20,Female,Finance,Bengaluru,0,883823,88,38.0,5,7.7,22.0,18.4,218.77,20,2023-03-01
29,31,Male,Sales,Pune,11,853723,71,41.7,6,6.3,6.6,34.2,287.56,25,2023-01-09
30,51,Female,IT,Pune,29,662004,82,42.3,1,6.0,14.4,23.4,208.67,20,2025-05-27
31,32,Male,Operations,Pune,10,1490144,70,47.9,3,7.6,21.3,29.6,62.58,10,2024-10-07
32,27,Male,IT,Kolkata,8,797386,58,41.0,4,5.0,7.4,30.9,97.23,20,2025-05-31
33,26,Male,IT,Hyderabad,7,1433258,63,40.4,6,7.0,13.2,19.3,107.51,10,2021-01-07
34,25,Female,Marketing,Hyderabad,4,657218,75,36.3,4,6.0,7.8,23.5,222.69,0,2020-07-09
35,30,Female,Marketing,Jaipur,8,729944,84,37.7,4,7.3,4.5,30.8,191.09,25,2022-09-18
36,31,Other,IT,Bengaluru,12,533574,88,40.6,6,7.5,4.1,24.9,200.45,0,2023-03-21
37,31,Male,Sales,Jaipur,10,886544,86,43.4,5,8.6,35.7,30.5,85.0,20,2024-04-14
38,23,Female,Sales,Jaipur,4,1014391,81,45.5,4,10.0,1.3,28.3,308.83,10,2023-09-14
39,38,Male,Sales,Jaipur,19,542172,78,39.9,2,7.4,3.2,23.3,46.98,20,2023-09-16
40,34,Female,Finance,Hyderabad,11,620118,68,42.9,4,5.9,1.6,23.1,286.41,10,2022-10-21
41,24,Male,Sales,Chennai,5,473372,72,41.1,4,6.7,17.4,24.1,327.47,30,2024-03-28
42,37,Male,Operations,Kolkata,17,554708,85,38.1,3,5.6,4.8,17.6,198.48,15,2024-07-24
43,33,Male,Marketing,Kolkata,10,872496,72,48.2,2,5.7,7.0,21.2,79.91,5,2025-03-14
44,29,Female,Sales,Bengaluru,9,477335,95,40.9,3,7.4,35.3,22.9,179.53,25,2021-08-20
45,26,Male,Operations,Delhi,6,948720,74,33.6,8,6.6,6.4,31.5,371.91,30,2020-01-06
46,31,Female,IT,Delhi,12,521593,83,36.6,5,9.8,47.4,21.2,97.02,30,2024-05-07
47,27,Female,IT,Kolkata,7,1033601,79,50.8,4,9.7,4.8,31.9,78.94,15,2023-08-23
48,39,Male,HR,Jaipur,20,1260106,79,42.9,4,5.0,7.0,18.5,106.74,5,2021-05-15
49,22,Male,Sales,Kolkata,0,864535,72,39.3,3,9.7,27.8,24.9,186.37,15,2025-04-19
50,26,Male,IT,Hyderabad,6,884834,85,43.5,6,2.8,4.2,18.8,87.87,25,2024-05-12
51,32,Female,IT,Hyderabad,13,1212990,71,42.6,3,7.0,17.5,31.2,186.1,0,2025-01-24
52,31,Male,Sales,Delhi,11,1134733,72,45.5,5,3.1,9.1,21.9,36.01,15,2025-06-04
53,37,Male,Operations,Mumbai,16,2466412,59,50.3,9,9.7,5.5,23.0,160.72,25,2024-03-13
54,28,Male,Sales,Pune,7,640256,63,33.2,1,5.9,14.5,21.1,178.49,0,2025-04-21
55,58,Female,Sales,Delhi,35,970280,82,38.3,6,8.6,21.5,20.7,1057.7,10,2020-03-08
56,30,Female,Operations,Mumbai,10,2154906,68,46.8,4,6.4,35.7,34.9,216.59,5,2023-08-07
57,19,Male,IT,Delhi,0,1593275,54,42.8,3,7.4,17.9,21.8,312.94,10,2024-10-24
58,56,Male,Marketing,Pune,37,1546835,72,45.2,6,6.9,6.6,26.6,137.99,20,2020-08-11
59,27,Female,Sales,Hyderabad,8,469502,77,29.6,6,6.3,28.9,20.2,169.01,10,2023-07-02
60,26,Female,HR,Hyderabad,5,1963699,65,35.5,5,6.8,7.2,21.8,98.29,15,2022-03-27
61,29,Male,Marketing,Delhi,9,732519,77,39.8,2,7.4,37.7,25.5,181.82,15,2021-12-25
62,46,Female,Operations,Hyderabad,26,971461,58,38.2,3,7.1,22.4,26.4,84.47,20,2021-04-08
63,38,Female,IT,Pune,19,1049643,56,36.3,3,7.3,5.2,15.5,102.3,25,2022-03-31
64,44,Female,Sales,Kolkata,21,627701,81,38.0,5,6.4,1.0,23.8,59.61,25,2020-06-16
65,31,Male,IT,Bengaluru,11,834562,89,42.1,4,4.8,1.0,25.0,114.61,0,2021-02-22
66,31,Male,IT,Mumbai,9,600915,81,50.3,5,4.2,19.7,24.5,180.09,25,2023-08-04
67,29,Male,Operations,Jaipur,6,555802,77,47.5,1,6.0,5.0,26.6,122.01,20,2023-07-20
68,40,Female,Marketing,Delhi,19,500002,82,42.2,6,6.5,17.8,22.4,146.35,30,2023-04-01
69,18,Other,IT,Chennai,0,844210,82,46.6,2,8.7,4.5,26.1,142.33,30,2021-08-10
70,47,Female,IT,Jaipur,24,1881097,84,31.1,2,5.6,38.0,21.6,114.57,30,2021-12-04
71,36,Female,Sales,Jaipur,14,250147,74,35.2,4,7.3,1.0,18.5,183.67,10,2020-07-12
72,25,Female,IT,Delhi,4,587952,71,38.7,7,6.5,10.8,20.7,288.19,15,2023-08-10
73,36,Female,Sales,Chennai,17,1527681,57,46.3,5,9.5,2.0,41.8,55.62,20,2024-04-27
74,20,Male,Sales,Delhi,1,403528,70,39.6,4,9.0,1.0,20.8,91.15,15,2023-06-04
75,30,Male,Sales,Jaipur,10,1239948,91,44.7,4,7.3,8.4,17.6,135.74,5,2024-06-28
76,20,Female,IT,Mumbai,0,559024,62,40.6,2,7.3,29.0,23.0,319.87,15,2022-10-25
77,27,Male,HR,Mumbai,4,1168209,82,45.9,2,8.1,1.8,19.1,220.15,0,2025-01-29
78,38,Female,Finance,Kolkata,16,766004,78,45.2,6,7.5,1.4,20.2,421.9,0,2023-07-18
79,27,Male,Marketing,Chennai,5,1033977,74,42.3,7,8.7,8.5,26.5,121.25,25,2022-03-03
80,39,Male,Marketing,Bengaluru,16,1986004,74,41.2,2,8.8,20.2,25.9,133.1,25,2021-01-08
81,34,Male,Sales,Bengaluru,14,705390,71,45.3,3,6.6,12.5,24.7,30.38,0,2024-11-08
82,29,Male,HR,Jaipur,8,1859940,68,45.9,3,8.6,19.4,22.3,193.33,20,2024-08-11
83,35,Female,Sales,Hyderabad,12,566580,82,34.5,6,6.5,11.4,15.8,124.57,30,2025-04-25
