age,gender,education,experience_years,role_seniority,company_size,location_tier,skills_count,certifications,worked_remote,last_promotion_years_ago,salary_bdt,recent_project_description_length,survey_date,recent_note,survey_year,survey_month,role_seniority_encoded
33.0,Male,M.Sc,6.0,Senior,Enterprise,Tier-2,1.0,2.0,1.0,0.0,145185.0,57.0,2024-11-15,Worked on microservices deployment,2024.0,11.0,2.0
29.0,Male,M.Sc,9.0,Junior,Enterprise,Remote,5.0,0.0,1.0,0.0,121262.0,50.0,2024-03-08,Built ML pipeline for preprocessing,2024.0,3.0,0.0
34.0,Male,B.Sc+Cert,15.8,Lead,Enterprise,Remote,5.0,1.0,1.0,5.0,184875.0,50.0,2024-09-01,Experience in data cleaning and ETL,2024.0,9.0,3.0
39.0,Male,B.Sc,16.0,Mid,Enterprise,Tier-1,5.0,0.0,1.0,3.0,180105.0,59.0,2024-01-26,Contributed to open-source NLP repo,2024.0,1.0,1.0
29.0,Female,B.Sc,8.0,Junior,SME,Tier-1,5.0,2.0,0.0,7.0,114750.0,57.6,2023-12-08,Built ML pipeline for preprocessing,2023.0,12.0,0.0
29.0,Female,B.Sc+Cert,7.0,Junior,Startup,Tier-3,5.0,3.0,1.0,0.0,88150.0,81.0,2023-09-17,Contributed to open-source NLP repo,2023.0,9.0,0.0
39.0,Male,B.Sc,19.0,Mid,Enterprise,Tier-1,2.0,0.0,0.0,4.0,210347.0,62.0,2024-11-15,Built ML pipeline for preprocessing,2024.0,11.0,1.0
35.0,Female,M.Sc,10.0,Mid,Enterprise,Tier-1,6.0,0.0,1.0,3.0,168940.0,61.0,2023-06-23,Built ML pipeline for preprocessing,2023.0,6.0,1.0
27.0,Male,M.Sc,4.0,Junior,Enterprise,Tier-3,5.0,0.0,1.0,2.0,74069.0,62.2,2024-12-24,Worked on microservices deployment,2024.0,12.0,0.0
33.0,Male,M.Sc,12.0,Junior,SME,Tier-2,7.0,0.0,0.0,1.0,117598.0,60.0,2023-07-14,Experience in data cleaning and ETL,2023.0,7.0,0.0
27.0,Male,B.Sc+Cert,7.0,Senior,SME,Tier-2,4.0,2.0,1.0,1.0,111207.0,65.0,2024-03-16,Worked on microservices deployment,2024.0,3.0,2.0
27.0,Male,PhD,1.0,Junior,Startup,Tier-1,9.0,4.0,1.0,4.0,71583.0,61.8,2023-09-29,Contributed to open-source NLP repo,2023.0,9.0,0.0
31.0,Female,M.Sc,4.0,Senior,Enterprise,Tier-2,4.0,0.0,1.0,3.0,128319.0,76.0,2023-11-03,No relevant project mentioned,2023.0,11.0,2.0
20.0,Female,B.Sc,0.0,Mid,Startup,Tier-2,2.0,0.0,0.0,3.0,30883.0,43.0,2023-11-04,Built ML pipeline for preprocessing,2023.0,11.0,1.0
20.0,Male,B.Sc+Cert,0.0,Mid,Startup,Tier-1,5.0,0.0,1.0,0.0,49709.0,60.0,2024-10-10,Built ML pipeline for preprocessing,2024.0,10.0,1.0
27.0,Male,B.Sc,0.0,Junior,SME,Tier-1,5.0,0.0,1.0,3.6,42206.0,58.0,2024-08-17,Experience in data cleaning and ETL,2024.0,8.0,0.0
24.0,Male,B.Sc,0.0,Junior,SME,Tier-2,6.0,4.0,0.0,6.0,42325.0,66.0,2024-07-09,Built ML pipeline for preprocessing,2024.0,7.0,0.0
