age,gender,education,experience_years,role_seniority,company_size,location_tier,skills_count,certifications,worked_remote,last_promotion_years_ago,salary_bdt,recent_project_description_length,survey_date,recent_note,survey_year,survey_month,role_seniority_encoded,survey_day,survey_quarter,survey_day_of_week,estimated_joining_date,joining_year,joining_month,joining_day,joining_quarter,joining_day_of_week,tenure_years,tenure_months,tenure_category
33,Male,M.Sc,6.0,Senior,Enterprise,Tier-2,1.0,2.0,1,0.0,145185,57.0,2024-11-15,Worked on microservices deployment,2024,11,2,15,4,Friday,2018-11-15 12:00:00,2018.0,11.0,15.0,4.0,Thursday,7.77,93,6-10 Years
29,Male,M.Sc,9.0,Junior,Enterprise,Remote,5.0,0.0,1,0.0,121262,50.0,2024-03-08,Built ML pipeline for preprocessing,2024,3,0,8,1,Friday,2015-03-08 18:00:00,2015.0,3.0,8.0,1.0,Sunday,11.46,138,11-20 Years
34,Male,B.Sc+Cert,,Lead,Enterprise,Remote,5.0,1.0,1,5.0,184875,50.0,2024-09-01,Experience in data cleaning and ETL,2024,9,3,1,3,Sunday,,,,,,,,,
39,Male,B.Sc,16.0,Mid,Enterprise,Tier-1,5.0,0.0,1,3.0,180105,59.0,2024-01-26,Contributed to open-source NLP repo,2024,1,1,26,1,Friday,2008-01-26 00:00:00,2008.0,1.0,26.0,1.0,Saturday,18.57,223,11-20 Years
29,Female,B.Sc,8.0,Junior,SME,Tier-1,5.0,2.0,0,7.0,114750,,2023-12-08,Built ML pipeline for preprocessing,2023,12,0,8,4,Friday,2015-12-08 00:00:00,2015.0,12.0,8.0,4.0,Tuesday,10.71,129,11-20 Years
29,Female,B.Sc+Cert,7.0,Junior,Startup,Tier-3,5.0,3.0,1,0.0,88150,81.0,2023-09-17,Contributed to open-source NLP repo,2023,9,0,17,3,Sunday,2016-09-16 06:00:00,2016.0,9.0,16.0,3.0,Friday,9.93,119,6-10 Years
39,Male,B.Sc,19.0,Mid,Enterprise,Tier-1,2.0,0.0,0,4.0,210347,62.0,2024-11-15,Built ML pipeline for preprocessing,2024,11,1,15,4,Friday,2005-11-15 06:00:00,2005.0,11.0,15.0,4.0,Tuesday,20.77,249,20+ Years
35,Female,M.Sc,10.0,Mid,Enterprise,Tier-1,6.0,0.0,1,3.0,168940,61.0,2023-06-23,,2023,6,1,23,2,Friday,2013-06-22 12:00:00,2013.0,6.0,22.0,2.0,Saturday,13.17,158,11-20 Years
27,Male,M.Sc,4.0,Junior,Enterprise,Tier-3,5.0,0.0,1,2.0,74069,,2024-12-24,Worked on microservices deployment,2024,12,0,24,4,Tuesday,2020-12-24 00:00:00,2020.0,12.0,24.0,4.0,Thursday,5.66,68,6-10 Years
33,Male,M.Sc,12.0,Junior,SME,Tier-2,7.0,0.0,0,1.0,117598,60.0,2023-07-14,Experience in data cleaning and ETL,2023,7,0,14,3,Friday,2011-07-14 00:00:00,2011.0,7.0,14.0,3.0,Thursday,15.11,181,11-20 Years
